MOF,Uptake,Pressure,H,C,N,F,Cl,Br,V,Cu,Zn,Zr,ASA_m^2/g_15prb,NASA_m^2/g_15prb,AV_cm^3/g_15prb,NAV_cm^3/g_15prb,POAV_cm^3/g_15prb,PONAV_cm^3/g_15prb,PLD,LCD,LFPD,Density,Volume,TotalDegreeOfUnsaturation,MetallicPercentage,OxygenToMetalRatio,ElectronegativeToTotalRatio,WeightedElectronegativityPerAtom,NitrogenToOxygen,Epoch40,Epoch1000,Epoch4000,Epoch40Ave,Epoch4000Ave,Epoch1000Ave,HenryCoeff_CO2
PIZNOB,0.142567365,1000,0.008417119,0.016834237,0,0,0,0,0,0,0,0,1422.96,0,0.0930186,0,0.32716,0,4.85489,5.81424,5.81424,1.50508,712.833,10,16.66666667,6,0.375,1.29,0,2.070361964,19.57929222,54.73025628,0.064698811,1.710320509,0.611852882,0.000136707
PIZNOB,0.52995147,4000,0.008417119,0.016834237,0,0,0,0,0,0,0,0,1422.96,0,0.0930186,0,0.32716,0,4.85489,5.81424,5.81424,1.50508,712.833,10,16.66666667,6,0.375,1.29,0,2.070361964,19.57929222,54.73025628,0.064698811,1.710320509,0.611852882,0.000136707
PIZPAP,1.249273328,40,0.00899847,0.017996941,0,0,0,0,0,0,0,0,1165.92,0,0.0513477,0,0.251993,0,4.09369,5.02301,4.63932,1.6437,1333.56,19,16.66666667,6,0.375,1.29,0,15.26627715,54.7488045,125.0507326,0.23853558,1.953917697,0.85545007,0.0341065
PIZPAP,3.050535587,1000,0.00899847,0.017996941,0,0,0,0,0,0,0,0,1165.92,0,0.0513477,0,0.251993,0,4.09369,5.02301,4.63932,1.6437,1333.56,19,16.66666667,6,0.375,1.29,0,15.26627715,54.7488045,125.0507326,0.23853558,1.953917697,0.85545007,0.0341065
PIZPAP,3.487617652,4000,0.00899847,0.017996941,0,0,0,0,0,0,0,0,1165.92,0,0.0513477,0,0.251993,0,4.09369,5.02301,4.63932,1.6437,1333.56,19,16.66666667,6,0.375,1.29,0,15.26627715,54.7488045,125.0507326,0.23853558,1.953917697,0.85545007,0.0341065
PIZPET,0.129346866,40,0.009085334,0.018170668,0,0,0,0,0,0,0,0,1462.19,0,0.0636354,0,0.317259,0,4.07229,5.00612,4.54032,1.30745,1320.81,19,16.66666667,6,0.375,1.29,0,10.66830648,49.53048391,119.832412,0.166692289,1.872381438,0.773913811,0.00328792
PIZPET,2.145279379,1000,0.009085334,0.018170668,0,0,0,0,0,0,0,0,1462.19,0,0.0636354,0,0.317259,0,4.07229,5.00612,4.54032,1.30745,1320.81,19,16.66666667,6,0.375,1.29,0,10.66830648,49.53048391,119.832412,0.166692289,1.872381438,0.773913811,0.00328792
PIZPET,3.680420315,4000,0.009085334,0.018170668,0,0,0,0,0,0,0,0,1462.19,0,0.0636354,0,0.317259,0,4.07229,5.00612,4.54032,1.30745,1320.81,19,16.66666667,6,0.375,1.29,0,10.66830648,49.53048391,119.832412,0.166692289,1.872381438,0.773913811,0.00328792
PIZPIX02,1.200096695,40,0.009350164,0.018700327,0,0,0,0,0,0,0,0,1125.25,0,0.0432876,0,0.229459,0,3.92497,4.8742,4.87073,1.75108,1283.4,19,16.66666667,6,0.375,1.29,0,15.30734652,54.68788935,124.9898175,0.239177289,1.952965898,0.854498271,0.0417867
PIZPIX02,2.971340226,1000,0.009350164,0.018700327,0,0,0,0,0,0,0,0,1125.25,0,0.0432876,0,0.229459,0,3.92497,4.8742,4.87073,1.75108,1283.4,19,16.66666667,6,0.375,1.29,0,15.30734652,54.68788935,124.9898175,0.239177289,1.952965898,0.854498271,0.0417867
PIZPIX02,3.451797117,4000,0.009350164,0.018700327,0,0,0,0,0,0,0,0,1125.25,0,0.0432876,0,0.229459,0,3.92497,4.8742,4.87073,1.75108,1283.4,19,16.66666667,6,0.375,1.29,0,15.30734652,54.68788935,124.9898175,0.239177289,1.952965898,0.854498271,0.0417867
PIZPIX,0.972343235,40,0.009150108,0.018300215,0,0,0,0,0,0,0,0,1122.77,0,0.047152,0,0.240429,0,3.97323,4.99576,4.52432,1.71361,1311.46,19,16.66666667,6,0.375,1.29,0,15.59231104,55.01278857,125.3147167,0.24362986,1.958042448,0.859574821,0.026142
PIZPIX,2.905619341,1000,0.009150108,0.018300215,0,0,0,0,0,0,0,0,1122.77,0,0.047152,0,0.240429,0,3.97323,4.99576,4.52432,1.71361,1311.46,19,16.66666667,6,0.375,1.29,0,15.59231104,55.01278857,125.3147167,0.24362986,1.958042448,0.859574821,0.026142
PIZPIX,3.291679507,4000,0.009150108,0.018300215,0,0,0,0,0,0,0,0,1122.77,0,0.047152,0,0.240429,0,3.97323,4.99576,4.52432,1.71361,1311.46,19,16.66666667,6,0.375,1.29,0,15.59231104,55.01278857,125.3147167,0.24362986,1.958042448,0.859574821,0.026142
